Gene ID	UniProt/TrEMBL Accession
ENSG00000281089	
ENSG00000281089	C9JK97
ENSG00000281089	
ENSG00000281089	F8WAF9
ENSG00000281089	C9JAY7
ENSG00000281089	C9J1B2
ENSG00000281089	A0A024R494
ENSG00000281089	E7EVC7
ENSG00000281709	C9JQH5
ENSG00000281709	
ENSG00000281709	
ENSG00000281709	
ENSG00000281709	F8WEU5
ENSG00000281709	
ENSG00000281024	
ENSG00000281306	
ENSG00000281306	C9JGS9
ENSG00000281306	C9JGR2
ENSG00000281306	C9J011
ENSG00000281306	C9J011
ENSG00000281306	C9J011
ENSG00000280951	
ENSG00000280951	
ENSG00000280951	
ENSG00000280951	
ENSG00000280951	
ENSG00000280951	
ENSG00000281448	A0A024R2Z2
ENSG00000281448	A0A024R2Z2
ENSG00000281448	A0A024R2Z2
ENSG00000281448	C9JLT3
ENSG00000281661	
ENSG00000281661	
ENSG00000281665	A0A024R2T2
ENSG00000281245	
ENSG00000280706	
ENSG00000280706	
ENSG00000280706	
ENSG00000280706	
ENSG00000280610	
ENSG00000280610	F8WC33
ENSG00000280610	D6RCT7
ENSG00000280610	C9JKA9
ENSG00000280610	H7C1K7
ENSG00000280610	H7BZT2
ENSG00000281857	E7ESX4
ENSG00000281857	
ENSG00000281857	C9JSX4
ENSG00000281857	F8WCN5
ENSG00000280516	
ENSG00000281886	
ENSG00000281886	F8WCU8
ENSG00000280873	
ENSG00000280873	C9JY42
ENSG00000280873	A0A096LNI6
ENSG00000280873	H7C0L1
ENSG00000280873	A0A024R495
ENSG00000280873	H7BZR7
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	
ENSG00000281244	
ENSG00000280674	H0Y6A5
ENSG00000280674	H7C1U6
ENSG00000280674	
ENSG00000280674	
ENSG00000280674	F8W6M3
ENSG00000280674	C9JIA9
ENSG00000280674	C9JNU5
ENSG00000280674	H7C365
ENSG00000280479	
ENSG00000280479	
ENSG00000280479	
ENSG00000280479	
ENSG00000280479	
ENSG00000281165	
ENSG00000281165	
ENSG00000281165	
ENSG00000281165	
ENSG00000281879	W6JLF7
ENSG00000282873	
ENSG00000282873	
ENSG00000283302	
ENSG00000281934	A0A087WW85
ENSG00000281175	A0A0D9SEZ9
ENSG00000281178	
ENSG00000281178	A0A0G2JRQ8
ENSG00000281178	
ENSG00000281178	
ENSG00000281178	A0A0G2JR68
ENSG00000281178	A0A0G2JQX8
ENSG00000282175	
ENSG00000281449	A0A024RAR1
ENSG00000281449	K7EMX4
ENSG00000281449	C9J3S1
ENSG00000281449	C9K0Q9
ENSG00000281449	A0A024RAR1
ENSG00000281449	A0A024RAR1
ENSG00000281449	A0A140VJF2
ENSG00000281449	K7EKK7
ENSG00000281449	
ENSG00000280477	
ENSG00000282817	
ENSG00000282584	
ENSG00000282663	
ENSG00000279195	
ENSG00000279195	
ENSG00000281840	Q8NI72
ENSG00000282172	
ENSG00000282119	
ENSG00000282119	
ENSG00000281277	
ENSG00000281277	
ENSG00000281277	H0YCU3
ENSG00000282437	
ENSG00000282566	A0A087WVD2
ENSG00000282566	
ENSG00000282566	
ENSG00000281324	
ENSG00000281324	H0YGW5
ENSG00000281324	H0YGH0
ENSG00000281324	F5H7J9
ENSG00000281324	F5H0Z3
ENSG00000282559	
ENSG00000280975	
ENSG00000280975	E9PPT8
ENSG00000280975	E9PJ16
ENSG00000282530	
ENSG00000281987	
ENSG00000282095	
ENSG00000282298	A0A096LNW4
ENSG00000282212	A0A096LP99
ENSG00000282424	
ENSG00000280831	E9PK60
ENSG00000280831	E9PQK3
ENSG00000280831	
ENSG00000282583	
ENSG00000282583	
ENSG00000282583	
ENSG00000281660	
ENSG00000281818	
ENSG00000281818	
ENSG00000281818	F5H3M3
ENSG00000281818	F5H6G8
ENSG00000282688	A0A087X198
ENSG00000282688	
ENSG00000280689	G3V1P3
ENSG00000280689	
ENSG00000280689	
ENSG00000282792	A0A0J9YY22
ENSG00000282792	A0A0J9YY00
ENSG00000280962	A0A024RAR2
ENSG00000280962	
ENSG00000280962	F5H5X4
ENSG00000280962	
ENSG00000280495	
ENSG00000280495	E9PQE8
ENSG00000280495	E9PKS9
ENSG00000280495	
ENSG00000280495	J3KP27
ENSG00000280495	E9PN70
ENSG00000280495	G3V1A0
ENSG00000280495	G5EA23
ENSG00000280774	
ENSG00000281320	A0A024R0I0
ENSG00000281320	A0A024R0I0
ENSG00000281320	A0A024R0M8
ENSG00000281320	A0A024R0M8
ENSG00000281320	A0A024R0J6
ENSG00000281320	M0R131
ENSG00000281320	M0R2X3
ENSG00000280682	
ENSG00000280682	A0A087WWI4
ENSG00000280682	Q9BST8
ENSG00000280682	A0A087X054
ENSG00000280682	K7EQK2
ENSG00000280682	A0A087X054
ENSG00000280682	J3KSR2
ENSG00000280682	E9PJ21
ENSG00000280682	J3KTF1
ENSG00000280682	J3QL06
ENSG00000280682	J3KSR2
ENSG00000280682	J3QLE9
ENSG00000280682	J3QQH7
ENSG00000280682	A0A087WW13
ENSG00000280682	A0A087X214
ENSG00000280548	M0R299
ENSG00000280548	
ENSG00000280548	M0QXC9
ENSG00000280548	M0QXL5
ENSG00000280548	M0R2Q4
ENSG00000280548	M0R0P1
ENSG00000280548	M0R1H0
ENSG00000280548	M0R2B0
ENSG00000280548	M0R2U2
ENSG00000280548	A0A0D9SFM2
ENSG00000281221	A8K2M0
ENSG00000281221	
ENSG00000281526	M0QXR6
ENSG00000281526	M0QZB2
ENSG00000281526	M0QXH5
ENSG00000281526	M0QY24
ENSG00000281526	
ENSG00000281526	M0R292
ENSG00000281601	A0A024R0P7
ENSG00000281601	A0A024R0P7
ENSG00000281601	C9JTJ1
ENSG00000281601	M0R168
ENSG00000281601	A0A075B7A7
ENSG00000281601	M0R0W9
ENSG00000280568	A0A0C4DG08
ENSG00000280568	
ENSG00000280568	
ENSG00000280568	
ENSG00000280568	
ENSG00000280568	
ENSG00000280568	M0QXV4
ENSG00000280568	A0A075B796
ENSG00000280568	A0A075B791
ENSG00000280568	A0A075B7B0
ENSG00000280568	M0QYL2
ENSG00000280616	A0A087WXL6
ENSG00000280616	B7Z879
ENSG00000280616	A0A0G2JS92
ENSG00000280616	A0A087X2J4
ENSG00000281123	
ENSG00000281702	F5H4X2
ENSG00000281702	
ENSG00000281702	F5H0P4
ENSG00000281702	
ENSG00000281702	
ENSG00000281702	F5H226
ENSG00000281702	
ENSG00000281702	F5H4Y7
ENSG00000281702	
ENSG00000281702	F5H4W5
ENSG00000281702	F5H345
ENSG00000281702	F5GY90
ENSG00000281702	F5GY90
ENSG00000281702	
ENSG00000281500	A0A024R3H9
ENSG00000283024	
ENSG00000283024	
ENSG00000282825	A0A024R259
ENSG00000282825	
ENSG00000282825	K7EQS9
ENSG00000282825	K7EPK6
ENSG00000282825	K7EK08
ENSG00000282825	K7EQS5
ENSG00000283059	
ENSG00000283094	
ENSG00000283094	A0A0U1RR63
ENSG00000283153	
ENSG00000283153	
ENSG00000283153	
ENSG00000283153	
ENSG00000283153	
ENSG00000282908	E9PQ73
ENSG00000282908	G5EA25
ENSG00000282908	
ENSG00000282928	
ENSG00000282928	
ENSG00000282928	
ENSG00000282928	
ENSG00000282928	
ENSG00000282928	
ENSG00000282974	E9PF59
ENSG00000282974	Q8IYG9
ENSG00000282974	
ENSG00000282974	
ENSG00000282974	A0A087WTG7
ENSG00000282974	E9PDL2
ENSG00000282801	
ENSG00000282163	
ENSG00000282310	
ENSG00000283113	
ENSG00000282758	
ENSG00000282823	
ENSG00000282694	
ENSG00000282447	
ENSG00000282282	
ENSG00000281978	
ENSG00000282402	
ENSG00000282210	
ENSG00000282671	
ENSG00000282666	
ENSG00000283068	
ENSG00000283068	E9PDR5
ENSG00000283068	D6R9F4
ENSG00000283068	E9PDR5
ENSG00000283068	E7EPI0
ENSG00000283068	H0Y9N7
ENSG00000282025	
ENSG00000282956	
ENSG00000282956	A0A087WT53
ENSG00000282956	A0A087WXD2
ENSG00000282956	
ENSG00000282956	H7C4U7
ENSG00000282956	
ENSG00000282956	H7C535
ENSG00000282956	
ENSG00000282956	H7C5T8
ENSG00000282956	H7C4S7
ENSG00000281933	
ENSG00000282811	
ENSG00000282811	
ENSG00000282394	
ENSG00000282120	
ENSG00000282182	
ENSG00000282182	
ENSG00000283115	
ENSG00000283115	
ENSG00000283115	
ENSG00000282986	
ENSG00000282986	
ENSG00000282986	
ENSG00000282986	
ENSG00000282986	
ENSG00000282986	
ENSG00000282986	
ENSG00000282986	
ENSG00000283085	
ENSG00000283085	
ENSG00000283085	
ENSG00000282844	A0A0S2Z3G9
ENSG00000282844	
ENSG00000282844	
ENSG00000282844	
ENSG00000282844	
ENSG00000282844	
ENSG00000282739	F8WAB8
ENSG00000282739	
ENSG00000282739	H0YCZ5
ENSG00000282739	H7C430
ENSG00000282739	H0YF50
ENSG00000282902	
ENSG00000283082	
ENSG00000283082	
ENSG00000282992	
ENSG00000282992	Q6FHZ4
ENSG00000282992	
ENSG00000282992	
ENSG00000282243	
ENSG00000282243	
ENSG00000282853	
ENSG00000282853	
ENSG00000282853	
ENSG00000282853	
ENSG00000282853	
ENSG00000282853	
ENSG00000282853	
ENSG00000282853	
ENSG00000282832	
ENSG00000282832	
ENSG00000282947	
ENSG00000282947	
ENSG00000282947	
ENSG00000282947	
ENSG00000282947	
ENSG00000282947	
ENSG00000282895	
ENSG00000282895	
ENSG00000282895	
ENSG00000282895	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	A0A024R0G8
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000283100	
ENSG00000282905	
ENSG00000282905	
ENSG00000282905	
ENSG00000282905	
ENSG00000282905	
ENSG00000282905	
ENSG00000283099	
ENSG00000283099	
ENSG00000283104	
ENSG00000283104	
ENSG00000283104	
ENSG00000283104	
ENSG00000283104	
ENSG00000283104	
ENSG00000283104	
ENSG00000283104	
ENSG00000282835	
ENSG00000283018	A0A024R0H2
ENSG00000283018	A0A024R0H2
ENSG00000283018	A0A024R0H2
ENSG00000282954	
ENSG00000282954	
ENSG00000282954	
ENSG00000282954	
ENSG00000282954	
ENSG00000283021	
ENSG00000283021	
ENSG00000283021	
ENSG00000283021	
ENSG00000283021	
ENSG00000282901	
ENSG00000283530	
ENSG00000283530	
ENSG00000283530	
ENSG00000283530	
ENSG00000283530	
ENSG00000283530	
ENSG00000283530	
ENSG00000283539	
ENSG00000283539	
ENSG00000283350	
ENSG00000283350	
ENSG00000283350	
ENSG00000283350	
ENSG00000280931	A0A126GVJ7
ENSG00000280808	A0A126GVE6
ENSG00000280899	A0A126GVN8
ENSG00000281680	A0A126GVZ2
ENSG00000281166	
ENSG00000281166	E9PPY0
ENSG00000282773	A0A0J9YX86
ENSG00000283158	
ENSG00000283243	
ENSG00000280606	
ENSG00000280606	
ENSG00000280606	E9PQV8
ENSG00000280606	H0YDT6
ENSG00000283552	
ENSG00000281013	A0A0C4DGS0
ENSG00000281013	
ENSG00000281013	
ENSG00000281013	R4GN43
ENSG00000283404	
ENSG00000283309	
ENSG00000283306	
ENSG00000283190	C3U3A0
ENSG00000283161	C3U3A0
ENSG00000283325	C3U3A0
ENSG00000283407	C3U3A0
ENSG00000283177	C3U3A0
ENSG00000283606	C3U3A0
ENSG00000283610	C3U3A0
ENSG00000281931	A0A024R9I1
ENSG00000281931	
ENSG00000281931	C9J650
ENSG00000281931	C9JNY7
ENSG00000281931	H7C4X7
ENSG00000283388	C3U3A0
ENSG00000283226	C3U3A0
ENSG00000280467	W5ZR30
ENSG00000280467	
ENSG00000280467	A9JX13
ENSG00000280467	I3L1M7
ENSG00000281757	A0A0G2JQS4
ENSG00000281757	A0A0G2JQZ4
ENSG00000282046	A6XAA7
ENSG00000282046	H0YLY2
ENSG00000282046	
ENSG00000283465	A0A1B0GVY7
ENSG00000282088	
ENSG00000282276	
ENSG00000283589	A0A1B0GV12
ENSG00000283589	A0A1B0GU40
ENSG00000282168	
ENSG00000280905	H7BY38
ENSG00000280905	Q38LG0
ENSG00000280905	A0A0G2JSD7
ENSG00000280905	A0A0G2JLK7
ENSG00000281897	W5ZR30
ENSG00000281897	
ENSG00000281897	A9JX13
ENSG00000281897	I3L1M7
ENSG00000281465	Q38LG2
ENSG00000281465	A0A0G2JSC5
ENSG00000281478	A0A0G2JRU3
ENSG00000281478	A0A0G2JRN6
ENSG00000283030	W5RWE1
ENSG00000283425	
ENSG00000282838	
ENSG00000282838	
ENSG00000282838	I3L3F7
ENSG00000282838	I3L2G7
ENSG00000282838	I3L0U2
ENSG00000282838	I3L3C7
ENSG00000282833	
ENSG00000282833	
ENSG00000282833	Q5R356
ENSG00000282833	A0A0U1RR13
ENSG00000282833	A0A0U1RQH5
ENSG00000282833	Q4VY12
ENSG00000282833	Q4VY13
ENSG00000283348	A0A087WVD2
ENSG00000283348	
ENSG00000283348	
ENSG00000283026	W5ZR30
ENSG00000283026	
ENSG00000283026	A9JX13
ENSG00000283026	I3L1M7
ENSG00000282891	
ENSG00000282891	
ENSG00000282891	
ENSG00000282984	
ENSG00000282984	
ENSG00000282984	
ENSG00000282966	H7BY38
ENSG00000282966	Q38LG0
ENSG00000282966	A0A0G2JSD7
ENSG00000282966	A0A0G2JLK7
ENSG00000283292	
ENSG00000282958	
ENSG00000282958	
ENSG00000282958	
ENSG00000282958	
ENSG00000282958	B4DT28
ENSG00000282958	
ENSG00000282983	A0A096LP95
ENSG00000283370	
ENSG00000282837	A0A0G2JPK8
ENSG00000282837	A0A0U1RRD3
ENSG00000282837	A0A0U1RQX2
ENSG00000282967	
ENSG00000282967	
ENSG00000282967	X6RAH8
ENSG00000283022	
ENSG00000283022	J3QL30
ENSG00000283022	J3KSY5
ENSG00000283022	A0A087WVK9
ENSG00000283022	J3QQJ7
ENSG00000283022	J3KRJ6
ENSG00000283022	J3KTP9
ENSG00000283022	
ENSG00000283022	
ENSG00000283022	J3QL79
ENSG00000283022	
ENSG00000283022	F8WD03
ENSG00000283022	H0YH52
ENSG00000283022	H0YF91
ENSG00000283022	F5H8I6
ENSG00000283022	F5GXK3
ENSG00000283216	
ENSG00000283087	
ENSG00000283087	
ENSG00000283087	J3KN18
ENSG00000283087	
ENSG00000283087	
ENSG00000283087	H0Y9D9
ENSG00000283087	
ENSG00000283087	
ENSG00000283231	
ENSG00000283056	G8H6I3
ENSG00000283056	I3L3X0
ENSG00000283056	I3L1H9
ENSG00000283056	A0A0C4DGN4
ENSG00000283139	A0A1B0GU46
ENSG00000283150	A0A0G2JM45
ENSG00000283046	
ENSG00000283046	
ENSG00000283046	
ENSG00000283387	
ENSG00000283387	
ENSG00000283387	
ENSG00000282848	
ENSG00000282848	
ENSG00000282848	
ENSG00000282848	F8W883
ENSG00000282937	A0A1B0GTW8
ENSG00000282937	A0A0U1RR72
ENSG00000282937	
ENSG00000282937	A0A0U1RQV9
ENSG00000283478	A0A087X198
ENSG00000283478	
ENSG00000283009	A0A024RAF3
ENSG00000283009	A0A024RAF3
ENSG00000283008	F5H6E7
ENSG00000283008	
ENSG00000283008	
ENSG00000283008	A0A0U1RQD0
ENSG00000283008	A0A0U1RRC6
ENSG00000282868	
ENSG00000282868	
ENSG00000282868	D6RGD6
ENSG00000282868	H0Y8Q8
ENSG00000283488	
ENSG00000282880	
ENSG00000282880	A0A087WY64
ENSG00000282880	
ENSG00000282941	
ENSG00000282941	S4R3M9
ENSG00000282941	
ENSG00000282941	S4R419
ENSG00000282513	
ENSG00000282513	
ENSG00000282513	H0YM30
ENSG00000282513	
ENSG00000282513	H0YL93
ENSG00000282513	H0YLM7
ENSG00000282513	H0YMP0
ENSG00000282513	
ENSG00000282513	
ENSG00000282972	B1APZ0
ENSG00000282972	B1APZ0
ENSG00000282972	B1APZ0
ENSG00000282972	B1APZ0
ENSG00000282972	B1APZ0
ENSG00000282892	W5ZR30
ENSG00000282892	
ENSG00000282892	A9JX13
ENSG00000282892	I3L1M7
ENSG00000283017	A0A0U1RRM0
ENSG00000283017	
ENSG00000283017	X6RLX0
ENSG00000283017	X6RM00
ENSG00000283017	
ENSG00000283017	A0A0U1RQM4
ENSG00000283017	
ENSG00000283017	
ENSG00000283017	
ENSG00000283017	A0A0U1RQD6
ENSG00000283017	
ENSG00000283017	
ENSG00000283017	
ENSG00000283017	G8JLD3
ENSG00000283017	A0A0U1RQN0
ENSG00000283017	A0A0U1RR82
ENSG00000283670	Q38LG2
ENSG00000283670	A0A0G2JSC5
ENSG00000282854	
ENSG00000282854	A0A024RAB1
ENSG00000282854	A0A087X0Y5
ENSG00000282854	H0YEB0
ENSG00000282854	E9PS98
ENSG00000282854	
ENSG00000282854	H0YE36
ENSG00000282854	H0YER8
ENSG00000282854	V9GY49
ENSG00000282932	
ENSG00000282932	
ENSG00000282932	
ENSG00000282932	A0A1B0GU15
ENSG00000282932	C9J8S8
ENSG00000282932	C9J6E4
ENSG00000282932	
ENSG00000282932	Q3KPI9
ENSG00000282932	
ENSG00000282932	
ENSG00000282932	
ENSG00000282932	F5GWR7
ENSG00000282830	A6NER6
ENSG00000282830	A0A140VK08
ENSG00000282830	H3BN14
ENSG00000282830	H3BMN5
ENSG00000282981	Q38LG2
ENSG00000282981	A0A0G2JSC5
ENSG00000282945	A0A0U1RRB3
ENSG00000282841	
ENSG00000282841	
ENSG00000282899	
ENSG00000283060	
ENSG00000283510	
ENSG00000283510	C9JLZ4
ENSG00000283510	C9JLV2
ENSG00000283630	
ENSG00000283630	E9PLY7
ENSG00000283630	E9PI42
ENSG00000283630	E9PRR7
ENSG00000283630	J3KSQ7
ENSG00000283284	A0A1B0GUD8
ENSG00000283284	C1ID54
ENSG00000283284	A0A1B0GU72
ENSG00000283284	A0A1B0GV74
ENSG00000283353	
ENSG00000283358	C3U3A0
ENSG00000283642	C3U3A0
ENSG00000283424	C3U3A0
ENSG00000283466	C3U3A0
ENSG00000283470	C3U3A0
ENSG00000283322	C3U3A0
ENSG00000283144	C3U3A0
ENSG00000283362	C3U3A0
ENSG00000283261	C3U3A0
ENSG00000283520	C3U3A0
ENSG00000283520	C3U3A0
ENSG00000283548	C3U3A0
ENSG00000283600	A0A1B0GW55
ENSG00000283681	W5ZR30
ENSG00000283681	
ENSG00000283681	A9JX13
ENSG00000283681	I3L1M7
ENSG00000283447	E5KRK5
ENSG00000283447	
ENSG00000283447	
ENSG00000283447	B4DJ81
ENSG00000283447	
ENSG00000283447	E5KRK5
ENSG00000283447	
ENSG00000283447	F8WDL5
ENSG00000283447	C9JPQ5
ENSG00000283140	A0A1B0GU76
ENSG00000283140	A0A1B0GVF5
ENSG00000283373	A0A1B0GV83
ENSG00000283373	A0A1B0GTQ1
ENSG00000283391	A0A024R3W7
ENSG00000283391	A0A024R3W7
ENSG00000283391	A0A024R3W7
ENSG00000283391	C9JZW3
ENSG00000283391	F2Z2G2
ENSG00000283391	F2Z2G2
ENSG00000283391	F8WF65
ENSG00000283391	F8WFC9
ENSG00000283448	
ENSG00000283448	
ENSG00000283448	
ENSG00000283448	
ENSG00000283448	C9JQB7
ENSG00000283448	C9J456
ENSG00000283448	C9JKF3
ENSG00000283448	C9JSU0
ENSG00000283448	C9JCK1
ENSG00000283448	C9JFR8
ENSG00000283649	N0DVB2
ENSG00000283649	N0DVX5
ENSG00000283596	A0A096LPE4
ENSG00000198888	U5Z754
ENSG00000198763	Q7GXY9
ENSG00000198804	U5YWV7
ENSG00000198712	U5Z487
ENSG00000228253	U5YV54
ENSG00000198899	Q0ZFE3
ENSG00000198938	Q7GIM7
ENSG00000276886	A6XAA7
ENSG00000276886	
ENSG00000198840	Q7GXZ5
ENSG00000276253	A0A0G2JNJ9
ENSG00000212907	Q7GXZ4
ENSG00000189139	
ENSG00000188152	
ENSG00000280671	A0A0D9SG33
ENSG00000198886	H9EC08
ENSG00000188152	
ENSG00000280544	A0A0D9SG47
ENSG00000198786	U5ZC31
ENSG00000275821	A0A0J9YWY1
ENSG00000198695	U5Z977
ENSG00000275821	A0A0G2JPS5
ENSG00000174038	
ENSG00000174038	
ENSG00000198727	Q0ZFD6
ENSG00000174038	F5H224
ENSG00000174038	F5H4E3
ENSG00000174038	
ENSG00000174038	F8W7H5
ENSG00000174038	
ENSG00000274005	A0A024R4M0
ENSG00000274005	B5MCT8
ENSG00000184203	
ENSG00000184203	H7C416
ENSG00000184203	E7EMN6
ENSG00000184203	E7EUI7
ENSG00000111802	
ENSG00000117650	
ENSG00000111802	X6R5A3
ENSG00000184203	E7EUI7
ENSG00000117650	
ENSG00000084090	
ENSG00000117650	F6U4U2
ENSG00000084090	C9JTD3
ENSG00000163291	
ENSG00000243215	A2AAT8
ENSG00000163291	F8W784
ENSG00000163291	
ENSG00000243215	Q5SP00
ENSG00000275117	
ENSG00000163291	
ENSG00000275117	F1T0A5
ENSG00000163291	
ENSG00000243215	Q6ICR9
ENSG00000243215	Q31604
ENSG00000163291	
ENSG00000280427	A0A096LNS6
ENSG00000243215	A0A140T9T2
ENSG00000163291	D6RDU4
ENSG00000243215	A0A140T995
ENSG00000278086	K7RE56
ENSG00000276296	A0A024R4Q5
ENSG00000197863	
ENSG00000197863	E9PRR6
ENSG00000197863	K7EQ58
ENSG00000232268	
ENSG00000197863	E9PL27
ENSG00000197863	E9PQ03
ENSG00000232268	J3KQU7
ENSG00000197863	
ENSG00000197863	
ENSG00000197863	
ENSG00000170923	
ENSG00000115425	B4DJS2
ENSG00000176142	H7C5P7
ENSG00000083814	M0R091
ENSG00000115425	
ENSG00000083814	
ENSG00000083814	M0QX87
ENSG00000083814	M0QX87
ENSG00000176142	
ENSG00000277667	A0A140VJX7
ENSG00000176142	
ENSG00000176142	C9K0C7
ENSG00000279287	A0A096LPA0
ENSG00000176142	C9IYN1
ENSG00000176142	F8WAU1
ENSG00000176142	C9JUZ6
ENSG00000176142	C9JYN8
ENSG00000279183	Q9BZ58
ENSG00000280127	A0A096LP29
ENSG00000120341	
ENSG00000120341	U3KQ39
ENSG00000120341	E9PK14
ENSG00000274232	A0A0B4J1S6
ENSG00000120341	H0YE70
ENSG00000274232	
ENSG00000274232	
ENSG00000274232	
ENSG00000279654	A0A096LPJ6
ENSG00000274232	E7EST5
ENSG00000233076	H0Y7N1
ENSG00000233076	V9HW53
ENSG00000233076	V9HW53
ENSG00000105258	
ENSG00000105258	K7EK49
ENSG00000105258	K7EKS1
ENSG00000233076	V9HW53
ENSG00000277996	A0A140VJX7
ENSG00000105258	K7ENX4
ENSG00000233076	Q5SRR8
ENSG00000278938	A0A096LPJ6
ENSG00000233076	Q5SSV3
ENSG00000099338	B8ZZI7
ENSG00000134294	A0A024R0W3
ENSG00000276323	A0A024R4Q5
ENSG00000099338	
ENSG00000281656	A0A0D9SEV3
ENSG00000099338	H9KV36
ENSG00000099338	K7EQY4
ENSG00000134294	F8VUY8
ENSG00000099338	K7EQR6
ENSG00000134294	F8VQW8
ENSG00000099338	X1WI24
ENSG00000099338	F8WDD6
ENSG00000099338	M0QZ16
ENSG00000134294	
ENSG00000204963	
ENSG00000204963	
ENSG00000196323	
ENSG00000196323	
ENSG00000204962	
ENSG00000196323	H7BY22
ENSG00000204962	
ENSG00000196323	
ENSG00000196323	H0YCZ0
ENSG00000196323	H0YEM9
ENSG00000196323	A0A0A0MTE9
ENSG00000196323	H7BY22
ENSG00000196323	A0A087WV65
ENSG00000180532	
ENSG00000281370	A0A0D9SFT2
ENSG00000180532	
ENSG00000100583	G3V2Z3
ENSG00000100583	
ENSG00000278427	C4N360
ENSG00000278427	A0A0G2JNU1
ENSG00000278427	A0A0G2JLT0
ENSG00000001036	
ENSG00000001036	Q7Z6V2
ENSG00000130147	
ENSG00000130147	C9JF25
ENSG00000130147	
ENSG00000130147	
ENSG00000196267	M0QZ88
ENSG00000130147	C9JWW6
ENSG00000198156	E9PS57
ENSG00000130147	C9JED2
ENSG00000198156	
ENSG00000196267	
ENSG00000196267	M0QYS4
ENSG00000130147	C9JRG1
ENSG00000196267	M0R1N4
ENSG00000109458	
ENSG00000133466	A0A024R1J0
ENSG00000196267	A0A0A0MR57
ENSG00000109458	
ENSG00000133466	A0A024R1J0
ENSG00000109458	D6RIS0
ENSG00000132823	
ENSG00000109458	D6RF42
ENSG00000132823	
ENSG00000133466	F8WC87
ENSG00000109458	B7Z3B9
ENSG00000146386	
ENSG00000109458	D6RIF8
ENSG00000146386	Q5SZC9
ENSG00000109458	H0Y8F4
ENSG00000109458	H0YA71
ENSG00000156795	
ENSG00000156795	
ENSG00000211937	
ENSG00000221923	F5H026
ENSG00000137285	
ENSG00000196365	
ENSG00000221923	F5H026
ENSG00000152969	A0A1B0GUE0
ENSG00000221923	
ENSG00000196365	K7EQF8
ENSG00000221923	M0R0M5
ENSG00000221923	
ENSG00000196365	K7EKE6
ENSG00000196365	
ENSG00000196365	
ENSG00000214189	A0A0A0MSK0
ENSG00000156795	E9PRB7
ENSG00000196365	K7EJE8
ENSG00000196365	K7ERR6
ENSG00000214189	M0R3I2
ENSG00000196365	K7ER27
ENSG00000214189	H7BYR5
ENSG00000196365	K7ER56
ENSG00000156795	H0YBV4
ENSG00000196365	K7ERS1
ENSG00000156795	E5RHC2
